Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Guayama Municipio, Puerto Rico",72,057,15296.0,37.5,35.1,40.7,664.0,9825.0,650.0,2485.0,2281.0,4455.0,89.0,68.0
"Moca Municipio, Puerto Rico",72,099,13413.0,38.6,37.5,39.3,868.0,7112.0,964.0,2324.0,1324.0,3679.0,158.0,230.0
"Culebra Municipio, Puerto Rico",72,049,23355.0,39.3,38.1,43.4,30.0,330.0,39.0,101.0,109.0,123.0,9.0,11.0
"Gurabo Municipio, Puerto Rico",72,063,32625.0,38.3,38.0,38.5,775.0,6267.0,1555.0,3136.0,3361.0,6919.0,324.0,771.0
"Salinas Municipio, Puerto Rico",72,123,16246.0,38.4,37.3,39.4,697.0,6937.0,368.0,1699.0,1760.0,2477.0,15.0,154.0
"Barceloneta Municipio, Puerto Rico",72,017,17113.0,38.7,37.7,39.6,537.0,5284.0,125.0,1747.0,1976.0,2532.0,0.0,54.0
"Loíza Municipio, Puerto Rico",72,087,17273.0,37.5,36.5,38.4,297.0,6221.0,763.0,1443.0,2234.0,1929.0,37.0,34.0
"Yauco Municipio, Puerto Rico",72,153,14451.0,42.1,40.7,43.6,861.0,7295.0,974.0,2263.0,1971.0,4558.0,225.0,180.0
"Guaynabo Municipio, Puerto Rico",72,061,34060.0,42.7,39.9,45.6,1322.0,10117.0,827.0,7476.0,5743.0,18175.0,3869.0,1477.0
"Aguadilla Municipio, Puerto Rico",72,005,16821.0,40.6,38.7,42.6,1145.0,9528.0,1255.0,4024.0,2678.0,6765.0,338.0,258.0
"Cabo Rojo Municipio, Puerto Rico",72,023,16461.0,42.3,41.6,42.9,830.0,8196.0,826.0,3197.0,2874.0,6871.0,93.0,516.0
"Fajardo Municipio, Puerto Rico",72,053,18941.0,40.7,38.0,42.2,446.0,6541.0,835.0,2876.0,1878.0,4126.0,110.0,168.0
"Las Marías Municipio, Puerto Rico",72,083,14404.0,40.1,38.8,41.4,156.0,1618.0,226.0,301.0,283.0,756.0,6.0,1.0
